16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:21.597  192.168.1.98:bind 11005 port fail, ret = 10049, hsdk_socket->port = 11005
16:43:21.601  192.168.1.98:bind 11015 port fail, ret = 10049, hsdk_socket->port = 11015
16:43:21.605  192.168.1.98:bind 11025 port fail, ret = 10049, hsdk_socket->port = 11025
16:43:21.609  192.168.1.98:bind 11035 port fail, ret = 10049, hsdk_socket->port = 11035
16:43:21.613  192.168.1.98:bind 11045 port fail, ret = 10049, hsdk_socket->port = 11045
16:43:21.617  192.168.1.98:bind 11055 port fail, ret = 10049, hsdk_socket->port = 11055
16:43:21.621  192.168.1.98:bind 11065 port fail, ret = 10049, hsdk_socket->port = 11065
16:43:21.626  192.168.1.98:bind 11075 port fail, ret = 10049, hsdk_socket->port = 11075
16:43:21.630  192.168.1.98:bind 11085 port fail, ret = 10049, hsdk_socket->port = 11085
16:43:21.634  192.168.1.98:bind 11095 port fail, ret = 10049, hsdk_socket->port = 11095
16:43:21.638  192.168.1.98:bind 11105 port fail, ret = 10049, hsdk_socket->port = 11105
16:43:21.643  192.168.1.98:bind 11115 port fail, ret = 10049, hsdk_socket->port = 11115
16:43:21.647  192.168.1.98:bind 11125 port fail, ret = 10049, hsdk_socket->port = 11125
16:43:21.652  192.168.1.98:bind 11135 port fail, ret = 10049, hsdk_socket->port = 11135
16:43:21.656  192.168.1.98:bind 11145 port fail, ret = 10049, hsdk_socket->port = 11145
16:43:21.660  192.168.1.98:bind 11155 port fail, ret = 10049, hsdk_socket->port = 11155
16:43:21.665  192.168.1.98:bind 11165 port fail, ret = 10049, hsdk_socket->port = 11165
16:43:21.669  192.168.1.98:bind 11175 port fail, ret = 10049, hsdk_socket->port = 11175
16:43:21.673  192.168.1.98:bind 11185 port fail, ret = 10049, hsdk_socket->port = 11185
16:43:21.678  192.168.1.98:bind 11195 port fail, ret = 10049, hsdk_socket->port = 11195
